Timestamp,Data Consent,Gender ID,Age,Nationality,College Course,Year of Course,University,Plants,Marine Life,Birds,Animals,Me,My Lifestyle,My Health,My Future,People in my country,All People,Children,Future Generations,Plants 12,Marine Life  12,Birds 12,Animals 12,Me 12,My Lifestyle 12,My Health 12,My Future 12,People in my country 12,All People 12,Children 12,Future Generations 12,Plants 7,Marine Life 7,Birds 7,Animals 7,Me 7,My Lifestyle 7,My Health 7,My Future 7,People in my country 7,All People 7,Children 7,Future Generations 7
3/19/2024 14:37:35,I consent for my anonymized data to be used for research purposes.,Female,34,Irish ,Environmental Health ,4th,Technological University Dublin ,7,7,5,7,4,2,6,1,4,7,7,7,11,10,8,9,2,1,3,4,5,7,6,12,6,5,3,4,0,0,0,0,0,2,0,7
3/19/2024 15:04:45,I consent for my anonymized data to be used for research purposes.,Transgender,22,Irish,Biological Sciences,2nd,Trinity,7,5,5,5,7,7,5,7,7,7,5,5,9,4,2,3,11,10,8,7,6,12,1,5,5,1,0,3,6,4,0,0,0,7,0,2
3/19/2024 15:12:29,I consent for my anonymized data to be used for research purposes.,Female,18,irish,biomedical science ,2,trinity college dublin,5,6,5,6,7,6,7,7,7,7,7,7,5,6,7,8,2,1,4,3,9,12,10,11,3,4,2,5,0,0,1,0,0,7,0,6
3/19/2024 15:13:31,I consent for my anonymized data to be used for research purposes.,Female,21,French,Biology ,3,UGA/ Trinity ,7,7,7,7,5,4,5,5,4,4,3,4,10,11,9,12,8,1,6,5,4,7,3,2,5,6,4,7,3,1,2,0,0,0,0,0
3/19/2024 15:24:17,I consent for my anonymized data to be used for research purposes.,Male,19,Irish ,Economics and History,One,Trinity College Dublin ,4,4,4,4,6,5,6,6,5,5,6,7,3,2,1,5,7,4,8,6,9,10,11,12,2,0,0,1,0,0,3,0,4,6,5,7
3/19/2024 15:38:39,I consent for my anonymized data to be used for research purposes.,Male,25,Irish,Tr060 ,2,Trinity college dublin ,7,7,7,7,3,3,4,6,6,7,6,6,11,12,9,10,2,1,3,4,5,6,7,8,6,7,4,5,0,0,0,0,0,2,1,3
3/19/2024 15:46:10,I consent for my anonymized data to be used for research purposes.,Female,21,Irish,Biological and biomedical sciences ,2nd,Trinity ,6,6,6,6,7,7,7,7,6,5,6,5,1,3,2,4,12,11,10,9,8,7,6,5,0,1,0,4,7,6,0,0,5,0,3,2
3/19/2024 16:12:05,I consent for my anonymized data to be used for research purposes.,Female,25,USA,PhD Environmental engineering ,2,Trinity College Dublin,6,6,6,6,2,2,2,2,4,6,6,7,8,6,7,9,3,1,2,4,5,11,10,12,4,2,3,5,0,0,0,1,0,6,0,7
3/19/2024 16:25:30,I consent for my anonymized data to be used for research purposes.,Female,21,Polish,Biological and Biomedical Sciences,2nd,Trinity College Dublin,7,7,7,7,7,4,7,7,7,7,7,7,6,7,8,9,3,1,4,2,5,12,10,11,1,2,3,4,0,0,0,0,0,7,5,6
3/19/2024 16:46:51,I consent for my anonymized data to be used for research purposes.,Female,19,Polish,Biological and Biomedical Sciences,2,Trinity College Dublin,4,6,6,6,7,6,7,7,6,7,5,7,1,4,3,5,9,2,10,12,8,11,6,7,0,0,0,3,4,0,5,7,0,6,1,2
3/19/2024 17:35:01,I consent for my anonymized data to be used for research purposes.,Female,23,Irish,"BA in education, business studies and religious studies",4,MIC thurles,6,6,6,6,6,6,6,7,7,7,7,7,1,2,3,4,5,6,7,8,9,10,11,12,0,0,0,1,6,7,5,0,0,2,3,4
3/19/2024 17:44:26,I consent for my anonymized data to be used for research purposes.,Male,23,Irish ,"BA in Education, Business and Religion Studies ",4th,Mary Immaculate College Thurles ,7,7,7,7,7,7,7,7,7,7,7,7,11,12,10,9,8,7,6,5,4,3,2,1,7,6,5,4,3,0,0,2,0,0,0,1
3/19/2024 17:51:57,I consent for my anonymized data to be used for research purposes.,Female,22,Irish,"BA in Education, Gaeilge and Business Studies",4,Mary Imacculate College,2,2,4,6,7,7,7,7,7,7,7,7,1,2,3,4,5,6,7,8,9,12,11,10,0,0,0,1,3,0,0,2,4,6,7,5
3/19/2024 18:06:46,I consent for my anonymized data to be used for research purposes.,Female,22,Irish,General Nursing,2nd,DCU,3,3,3,3,2,3,3,3,3,3,3,3,11,12,9,10,1,2,3,4,5,8,6,7,5,7,3,6,0,0,0,0,1,0,2,4
3/19/2024 18:11:00,I consent for my anonymized data to be used for research purposes.,Non-Binary,20,Irish,Geography and Geoscience,Second,Trinity College Dublin,5,6,6,7,6,4,5,7,4,6,6,6,10,11,9,12,8,5,7,6,1,4,3,2,3,4,0,7,6,1,0,5,2,0,0,0
3/19/2024 18:19:53,I consent for my anonymized data to be used for research purposes.,Female,27,Irish,Medicine,Final/4th year,RCSI,6,7,6,6,6,5,7,5,7,7,7,7,8,10,5,7,4,1,3,2,6,9,11,12,0,5,3,0,0,1,2,0,0,4,6,7
3/19/2024 19:57:29,I consent for my anonymized data to be used for research purposes.,Female,27,French,Phd in zoology,2nd year,UCC,6,7,7,7,3,3,3,3,4,5,5,5,9,12,11,10,3,4,5,2,1,6,8,7,4,7,6,5,3,0,0,0,0,0,2,1
3/20/2024 7:23:17,I consent for my anonymized data to be used for research purposes.,Female,27,Dutch,PhD in Chemistry ,3rd,Trinity College Dublin ,4,6,4,5,5,3,5,5,5,6,6,7,3,5,2,4,8,1,7,6,9,10,11,12,4,0,2,3,5,1,0,0,0,6,0,7
3/20/2024 9:24:46,I consent for my anonymized data to be used for research purposes.,Female,27,Irish,PhD Psychology,3,UCD,6,7,7,7,6,5,4,6,6,7,7,7,5,9,10,11,4,2,1,3,6,7,8,12,0,4,5,6,0,0,0,0,2,1,3,7
3/20/2024 10:50:05,I consent for my anonymized data to be used for research purposes.,Female,32,China,PhD in finance,4,Trinity College Dublin,6,6,6,7,7,6,7,7,7,7,7,7,1,3,2,4,10,6,11,12,5,8,9,7,0,1,0,2,0,0,6,7,0,5,4,3
3/20/2024 11:52:01,I consent for my anonymized data to be used for research purposes.,Male,32,Irish,Biopharmaceutical Processing,2023/2024,ATU Sligo,7,7,7,7,4,3,5,6,6,6,7,7,12,11,9,10,2,1,4,3,5,6,7,8,7,4,5,6,0,0,0,0,0,1,2,3
3/20/2024 14:58:49,I consent for my anonymized data to be used for research purposes.,Female,30+,Chinese,Linguistics,3,Trinity,6,6,6,6,7,2,7,7,7,7,7,7,4,2,3,5,12,1,11,10,7,8,6,9,0,0,0,1,7,0,6,5,2,3,0,4
3/20/2024 21:10:40,I consent for my anonymized data to be used for research purposes.,Male,19,Irish,Business Information Systems,1st year,MTU,2,3,3,5,7,7,7,7,4,4,5,6,2,3,1,4,11,9,10,12,6,5,7,8,0,0,0,0,4,5,6,7,2,1,0,3
3/20/2024 21:19:41,I consent for my anonymized data to be used for research purposes.,Female,20,Irish,Applied psychology,Second,UCC,5,6,6,6,6,7,7,7,5,6,6,6,1,6,5,8,10,7,12,2,3,9,4,11,0,3,0,4,0,1,7,0,0,6,2,5
3/20/2024 22:19:11,I consent for my anonymized data to be used for research purposes.,Female,20,Irish,Applied Psychology,2nd,UCC,7,6,5,6,7,5,5,5,6,7,7,7,10,8,7,9,6,5,4,3,2,1,11,12,5,2,1,3,4,0,0,0,0,6,0,7
3/20/2024 22:48:38,I consent for my anonymized data to be used for research purposes.,Female,19,Irish,BA Applied Psychology,2nd,University College Cork,7,7,7,7,7,7,7,7,7,7,7,6,9,7,6,8,12,1,11,3,4,10,5,2,3,1,0,2,7,0,6,0,0,5,0,4
3/21/2024 8:57:24,I consent for my anonymized data to be used for research purposes.,Male,19,Irish,TR061 - Chemical Sciences,1st,Trinity College Dublin,3,4,2,5,4,1,5,5,4,5,6,7,3,4,2,6,5,1,10,8,7,9,11,12,3,2,1,4,5,0,0,0,0,6,0,7
3/21/2024 9:06:07,I consent for my anonymized data to be used for research purposes.,Female,19,irish,Film production,1,IADT,6,5,6,6,5,6,5,7,6,7,7,7,6,9,1,8,3,4,2,10,5,7,11,12,0,6,0,4,0,5,0,3,0,2,1,7
3/21/2024 13:13:36,I consent for my anonymized data to be used for research purposes.,Female,26,Indian,PhD,3,Trinity college Dublin,4,4,4,4,3,3,3,3,3,5,6,7,4,3,5,6,7,1,2,8,9,10,11,12,2,1,3,4,0,0,0,0,0,5,6,7
